,이 닝,0 점,1+ 점,1 점,2 점,3 점,4 점,5+ 점,최 다,평 균,Season
0,1,99,34,20,10,1,2,1,8,0.44,2012
1,2,110,23,13,4,4,2,0,4,0.31,2012
2,3,93,40,22,9,6,1,2,6,0.55,2012
3,4,103,30,20,6,3,1,0,4,0.34,2012
4,5,93,40,20,9,6,1,4,8,0.64,2012
5,6,99,33,19,7,6,0,1,6,0.43,2012
6,7,101,31,17,3,9,2,0,4,0.44,2012
7,8,97,35,23,9,1,1,1,5,0.4,2012
8,9,77,29,19,8,2,0,0,3,0.39,2012
9,10,8,4,3,1,0,0,0,2,0.42,2012
10,11,6,2,2,0,0,0,0,1,0.25,2012
11,12,4,2,1,0,0,1,0,4,0.83,2012
0,1,79,49,24,12,6,6,1,9,0.77,2013
1,2,85,43,20,11,5,4,3,5,0.69,2013
2,3,84,44,23,9,7,2,3,7,0.7,2013
3,4,90,38,22,9,3,3,1,5,0.52,2013
4,5,87,41,20,12,6,1,2,6,0.6,2013
5,6,93,35,20,9,3,2,1,5,0.47,2013
6,7,84,44,22,12,9,1,0,4,0.6,2013
7,8,84,44,21,17,2,1,3,7,0.64,2013
8,9,70,26,14,5,4,2,1,7,0.53,2013
9,10,11,2,1,0,1,0,0,3,0.31,2013
10,11,5,4,3,1,0,0,0,2,0.56,2013
11,12,4,0,0,0,0,0,0,0,0.0,2013
0,1,82,46,26,9,8,3,0,4,0.63,2014
1,2,89,39,22,10,5,2,0,4,0.51,2014
2,3,85,43,19,11,8,3,2,5,0.68,2014
3,4,92,36,15,14,6,1,0,4,0.51,2014
4,5,90,38,17,10,5,2,4,9,0.69,2014
5,6,84,42,27,6,5,2,2,5,0.57,2014
6,7,73,52,31,12,3,3,3,6,0.74,2014
7,8,91,33,13,12,6,2,0,4,0.51,2014
8,9,65,36,21,7,5,1,2,7,0.66,2014
9,10,6,1,1,0,0,0,0,1,0.14,2014
10,11,3,1,0,0,0,1,0,4,1.0,2014
11,12,2,1,1,0,0,0,0,1,0.33,2014
0,1,99,45,20,15,7,2,1,7,0.6,2015
1,2,95,49,29,9,5,5,1,5,0.6,2015
2,3,102,42,18,14,5,4,1,5,0.57,2015
3,4,96,48,27,12,5,2,2,9,0.61,2015
4,5,95,49,23,13,5,6,2,8,0.71,2015
5,6,101,43,16,12,11,2,2,6,0.65,2015
6,7,92,52,22,15,6,6,3,8,0.81,2015
7,8,90,54,33,9,9,2,1,6,0.64,2015
8,9,79,30,16,10,3,0,1,6,0.47,2015
9,10,9,3,2,1,0,0,0,2,0.33,2015
10,11,4,3,2,1,0,0,0,2,0.57,2015
11,12,1,2,2,0,0,0,0,1,0.67,2015
0,1,98,46,19,10,9,1,7,8,0.76,2016
1,2,90,54,22,15,8,4,5,6,0.83,2016
2,3,95,49,21,16,3,3,6,8,0.76,2016
3,4,89,55,28,12,9,2,4,7,0.76,2016
4,5,98,46,16,20,5,2,3,8,0.68,2016
5,6,90,54,27,11,10,5,1,5,0.72,2016
6,7,95,49,15,19,8,2,5,8,0.8,2016
7,8,91,53,29,10,7,6,1,5,0.69,2016
8,9,63,40,26,6,6,1,1,5,0.63,2016
9,10,6,3,2,1,0,0,0,2,0.44,2016
10,11,3,1,1,0,0,0,0,1,0.25,2016
11,12,2,0,0,0,0,0,0,0,0.0,2016
0,1,101,43,16,13,6,6,2,6,0.66,2017
1,2,93,51,24,10,9,3,5,10,0.83,2017
2,3,91,53,23,9,10,7,4,7,0.87,2017
3,4,90,54,29,10,9,5,1,8,0.72,2017
4,5,104,40,14,14,7,4,1,5,0.58,2017
5,6,102,42,29,6,4,1,2,10,0.5,2017
6,7,97,46,26,11,5,2,2,7,0.58,2017
7,8,93,50,27,11,9,0,3,6,0.64,2017
8,9,74,36,18,10,4,1,3,5,0.63,2017
9,10,10,2,2,0,0,0,0,1,0.17,2017
10,11,2,3,3,0,0,0,0,1,0.6,2017
11,12,3,1,1,0,0,0,0,1,0.25,2017
0,1,93,51,33,10,5,2,1,7,0.58,2018
1,2,92,52,27,13,6,4,2,7,0.69,2018
2,3,98,46,23,15,3,3,2,7,0.6,2018
3,4,89,55,32,7,10,2,4,7,0.76,2018
4,5,93,51,26,15,4,3,3,6,0.67,2018
5,6,82,62,23,24,10,2,3,8,0.9,2018
6,7,86,58,29,15,6,2,6,8,0.84,2018
